point_id:region_id:country_id:gmt_add:point_name_en:point_name_trim_en:point_name2_en:point_name_ru:point_name_trim_ru:point_name2_ru
86858:60:3:4::::Толчково:Толчково:в Толчково
86859:60:3:4::::Овсянниково:Овсянниково:в Овсянниково
86860:60:3:4::::Пырьевка:Пырьевка:в Пырьевке
86861:60:3:4::::Скоморохово:Скоморохово:в Скоморохово
86862:60:3:4::::Станки:Станки:в Станках
86863:60:3:4::::Чечкино-Богородское:Чечкино-Богородское:в Чечкино-Богородском
86864:60:3:4::::Петрово:Петрово:в Петрово
86865:60:3:4::::Выползово:Выползово:в Выползово
86866:60:3:4::::Парахино:Парахино:в Парахино
86867:60:3:4::::Алешково:Алешково:в Алешково
86868:60:3:4::::Котиха:Котиха:в Котихе
86869:60:3:4::::Голыгино:Голыгино:в Голыгино
86870:60:3:4::::Коробейкино:Коробейкино:в Коробейкино
86871:60:3:4::::Тюриха:Тюриха:в Тюрихе
86872:60:3:4::::Дворянское:Дворянское:в Дворянском
86873:60:3:4::::Никониха:Никониха:в Никонихе
86874:60:3:4::::Кузьмино:Кузьмино:в Кузьмино
86875:60:3:4::::Бортницы:Бортницы:в Бортницах
86876:56:3:4::::Митинская:Митинская:в Митинской
86877:60:3:4::::Раставлево:Раставлево:в Раставлево
86878:60:3:4::::Вязово:Вязово:в Вязово
86879:60:3:4::::Лежахово:Лежахово:в Лежахово
86880:60:3:4::::Ломы Малые:Ломы Малые:в Ломах-Малых
86881:60:3:4::::Ломы Большие:Ломы Большие:в Ломах-Больших
86882:56:3:4::::Роговская:Роговская:в Роговской
86883:60:3:4::::Красново:Красново:в Красново
86884:60:3:4::::Мелечкино:Мелечкино:в Мелечкино
86885:60:3:4::::Прислониха:Прислониха:в Прислонихе
86886:60:3:4::::Николаевка:Николаевка:в Николаевке
86887:60:3:4::::Немково:Немково:в Немково
86888:60:3:4::::Парское:Парское:в Парском
86889:60:3:4::::Березники:Березники:в Березниках
86890:60:3:4::::Жжониха:Жжониха:в Жжонихе
86891:60:3:4::::Дунильцево Большое:Дунильцево Большое:в Дунильцево-Большом
86892:56:3:4::::Селянкино:Селянкино:в Селянкино
86893:60:3:4::::Хрипелево:Хрипелево:в Хрипелево
86894:60:3:4::::Шевригино:Шевригино:в Шевригино
86895:60:3:4::::Деменово:Деменово:в Деменово
86896:60:3:4::::Гляденцево:Гляденцево:в Гляденцево
86897:60:3:4::::Плишкино:Плишкино:в Плишкино
86898:60:3:4::::Бедряево:Бедряево:в Бедряево
86899:60:3:4::::Колбацкое:Колбацкое:в Колбацком
86900:60:3:4::::Поляниново:Поляниново:в Поляниново
86901:60:3:4::::Котюрево:Котюрево:в Котюрево
86902:60:3:4::::Четряково:Четряково:в Четряково
86903:60:3:4::::Исаево:Исаево:в Исаево
86904:60:3:4::::Каликино (Куликовский сельсовет):Каликино:в Каликино
86905:60:3:4::::Сидоровское:Сидоровское:в Сидоровском
86906:60:3:4::::Васильевское:Васильевское:в Васильевском
86907:60:3:4::::Белоусиха:Белоусиха:в Белоусихе
86908:60:3:4::::Горбово:Горбово:в Горбово
86909:60:3:4::::Становое:Становое:в Становом
86910:60:3:4::::Котцыно:Котцыно:в Котцыно
86911:60:3:4::::Богородское (с.):Богородское:в Богородском
86912:60:3:4::::Подталицы:Подталицы:в Подталицах
86913:60:3:4::::Сергиевское:Сергиевское:в Сергиевском
86914:60:3:4::::Юриково:Юриково:в Юриково
86915:60:3:4::::Строкино:Строкино:в Строкино
86916:60:3:4::::Бяково:Бяково:в Бяково
86917:60:3:4::::Красное:Красное:в Красном
86918:60:3:4::::Юрьевское:Юрьевское:в Юрьевском
86919:60:3:4::::Измайлово:Измайлово:в Измайлово
86920:60:3:4::::Петровское:Петровское:в Петровском
86921:60:3:4::::Ошуриха:Ошуриха:в Ошурихе
86922:60:3:4::::Ярлыково:Ярлыково:в Ярлыково
86923:60:3:4::::Дылево:Дылево:в Дылево
86924:60:3:4::::Рябинкино:Рябинкино:в Рябинкино
86925:60:3:4::::Боброково:Боброково:в Боброково
86926:60:3:4::::Бураково:Бураково:в Бураково
86927:60:3:4::::Сенниково:Сенниково:в Сенниково
86928:60:3:4::::Клыгино:Клыгино:в Клыгино
86929:60:3:4::::Исупово:Исупово:в Исупово
86930:60:3:4::::Бердюково:Бердюково:в Бердюково
86931:60:3:4::::Никульское:Никульское:в Никульском
86932:60:3:4::::Зименки:Зименки:в Зименках
86933:60:3:4::::Становое:Становое:в Становом
86934:60:3:4::::Козлоки:Козлоки:в Козлоках
86935:60:3:4::::Кутилово:Кутилово:в Кутилово
86936:60:3:4::::Пархачево:Пархачево:в Пархачево
86937:60:3:4::::Половчинново:Половчинново:в Половчинново
86938:60:3:4::::Малышево:Малышево:в Малышево
86939:60:3:4::::Старое Село:Старое Село:в Старом Селе
86940:60:3:4::::Сгорьево:Сгорьево:в Сгорьево
86941:60:3:4::::Пронискино:Пронискино:в Пронискино
86942:60:3:4::::Куделино:Куделино:в Куделино
86943:60:3:4::::Овинцы:Овинцы:в Овинцах
86944:60:3:4::::Романово:Романово:в Романово
86945:60:3:4::::Филисово:Филисово:в Филисово
86946:60:3:4::::Орехово:Орехово:в Орехово
86947:60:3:4::::Андреевское:Андреевское:в Андреевском
86948:60:3:4::::Стрелки:Стрелки:в Стрелках
86949:60:3:4::::Слободка:Слободка:в Слободке
86950:60:3:4::::Дудкино:Дудкино:в Дудкино
86951:60:3:4::::Назарково:Назарково:в Назарково
86952:60:3:4::::Игнатово:Игнатово:в Игнатово
86953:60:3:4::::Борщево:Борщево:в Борщево
86954:60:3:4::::Корцово (Пригородный сельсовет):Корцово:в Корцово
86955:60:3:4::::Деревеньки:Деревеньки:в Деревеньках
86956:60:3:4::::Болтино:Болтино:в Болтино
86957:60:3:4::::Ахидовка:Ахидовка:в Ахидовке
86958:60:3:4::::Леушиха:Леушиха:в Леушихе
86959:60:3:4::::Борис-Глеб:Борис-Глеб:в Борисо-Глебе
86960:60:3:4::::Федорково:Федорково:в Федорково
86961:60:3:4::::Мостищи:Мостищи:в Мостищах
86962:60:3:4::::Юриха:Юриха:в Юрихе
