point_id:region_id:country_id:gmt_add:point_name_en:point_name_trim_en:point_name2_en:point_name_ru:point_name_trim_ru:point_name2_ru
347996:3509:254:3:Relay station:Relay station:in Relay station:Ретрансляционная станция:Ретрансляционная станция:на Ретрансляционной станции
347997:3507:254:6:Mirnyj:Mirnyj:in Mirnyj:Мирный:Мирный:в Мирном
347998:3493:254::Base Orcadas:Base Orcadas:in Base Orcadas:База Оркадас:База Оркадас:на базе Оркадас
347999:3509:254:11:Manuela:Manuela:in Manuela:Мануэла:Мануэла:в Мануэле
348000:3509:254::Sky-Blu:Sky-Blu:in Sky-Blu:Скай Блю:Скай Блю:в Скай Блю
348001:3509:254:11:McMurdo:McMurdo:in McMurdo:Мак-Мёрдо:Мак-Мёрдо:в Мак-Мёрдо
348002:3509:254::Butler island:Butler island:in Butler island:остров Батлер:остров Батлер:на острове Батлер
348003:3498:254:7:Casey Snyder Rocks:Casey Snyder Rocks:in Casey Snyder Rocks:Кейси Снайдер-Рокс:Кейси Снайдер-Рокс:в Кейси Снайдер-Рокс
348004:3509:254::Elizabeth:Elizabeth:in Elizabeth:Элизабет:Элизабет:в Элизабет
348005:3511:242:0:Dinamet-Uruguay:Dinamet-Uruguay:in Dinamet-Uruguay:Динамет-Уругвай:Динамет-Уругвай:в Динамет-Уругвай
348006:3498:254:5:Dome Plateau Eagle:Dome Plateau Eagle:in Dome Plateau Eagle:Доум-плато-игл:Доум-плато-игл:в Доум-плато-игле
348007:3503:254:3:Syowa:Syowa:in Syowa:Сёва:Сёва:в Сёве
348008:3509:254:12:Elaine:Elaine:in Elaine:Элейн:Элейн:в Элейн
348009:3517:254::Nordenskiold base:Nordenskiold base:in Nordenskiold base:База Норденшельд:База Норденшельд:на базе Норденшельд
348010:3508:254::Faraday:Faraday:in Faraday:Фарадей:Фарадей:в Фарадее
348011:3493:254::Belgrano II:Belgrano II:in Belgrano II:Бельграно II:Бельграно II:в Бельграно II
348012:3499:254::Arturo-Prat:Arturo-Prat:in Arturo-Prat:Артуро Прат:Артуро Прат:в Артуро Прат
348013:3518:254:11:Cape Phillips:Cape Phillips:in Cape Phillips:Мыс Филлипс:Мыс Филлипс:на мысе Филлипс
