point_id:region_id:country_id:gmt_add:point_name_en:point_name_trim_en:point_name2_en:point_name_ru:point_name_trim_ru:point_name2_ru
250328:186:51:0:Woodham:Woodham:in Woodham:::
250329:186:51:0:Sherburn:Sherburn:in Sherburn:::
250330:186:51:0:Sherburn Hill:Sherburn Hill:in Sherburn Hill:::
250331:186:51:0:Sherburn House:Sherburn House:in Sherburn House:::
250332:186:51:0:Sherburn Village:Sherburn Village:in Sherburn Village:::
250333:186:51:0:Shincliffe:Shincliffe:in Shincliffe:::
250334:186:51:0:Stonebridge:Stonebridge:in Stonebridge:::
250335:186:51:0:Sunderland Bridge:Sunderland Bridge:in Sunderland Bridge:::
250336:186:51:0:Ushaw Moor:Ushaw Moor:in Ushaw Moor:::
250337:186:51:0:Waterhouses:Waterhouses:in Waterhouses:::
250338:186:51:0:West Rainton:West Rainton:in West Rainton:::
250339:186:51:0:Wotton Underwood:Wotton Underwood:in Wotton Underwood:::
250340:186:51:0:West Sherburn:West Sherburn:in West Sherburn:::
250341:186:51:0:Witton Gilbert:Witton Gilbert:in Witton Gilbert:::
250342:186:51:0:Blackhall Colliery:Blackhall Colliery:in Blackhall Colliery:::
250343:186:51:0:Blackhall Rocks:Blackhall Rocks:in Blackhall Rocks:::
250344:186:51:0:Cassop:Cassop:in Cassop:::
250345:186:51:0:Castle Eden:Castle Eden:in Castle Eden:::
250346:186:51:0:Cold Hesledon:Cold Hesledon:in Cold Hesledon:::
250347:186:51:0:Dalton-le-Dale:Dalton-le-Dale:in Dalton-le-Dale:::
250348:186:51:0:Dawdon:Dawdon:in Dawdon:::
250349:186:51:0:Easington:Easington:in Easington:::
250350:186:51:0:Amersham:Amersham:in Amersham:::
250351:186:51:0:Easington Colliery:Easington Colliery:in Easington Colliery:::
250352:186:51:0:Easington Village:Easington Village:in Easington Village:::
250353:186:51:0:Haswell:Haswell:in Haswell:::
250354:186:51:0:Haswell Plough:Haswell Plough:in Haswell Plough:::
250355:186:51:0:Hawthorn:Hawthorn:in Hawthorn:::
250356:186:51:0:Hesleden:Hesleden:in Hesleden:::
250357:186:51:0:High Hesleden:High Hesleden:in High Hesleden:::
250358:186:51:0:Horden:Horden:in Horden:::
250359:186:51:0:Hutton Henry:Hutton Henry:in Hutton Henry:::
250360:186:51:0:Littlethorpe:Littlethorpe:in Littlethorpe:::
250361:186:51:0:Briar Bank Park:Briar Bank Park:in Briar Bank Park:::
250362:186:51:0:Littletown:Littletown:in Littletown:::
250363:186:51:0:Monk Hesleden:Monk Hesleden:in Monk Hesleden:::
250364:186:51:0:North West Industrial Estate:North West Industrial Estate:in North West Industrial Estate:::
250365:186:51:0:Old Shotton:Old Shotton:in Old Shotton:::
250366:186:51:0:Peterlee:Peterlee:in Peterlee:::
250367:186:51:0:Seaham:Seaham:in Seaham:::
250368:186:51:0:Seaham Grange Industrial Estate:Seaham Grange Industrial Estate:in Seaham Grange Industrial Estate:::
250369:186:51:0:Sheraton:Sheraton:in Sheraton:::
250370:186:51:0:Shotton Colliery:Shotton Colliery:in Shotton Colliery:::
250371:186:51:0:Asheridge:Asheridge:in Asheridge:::
250372:186:51:0:South Hetton:South Hetton:in South Hetton:::
250373:186:51:0:South West Industrial Estate:South West Industrial Estate:in South West Industrial Estate:::
250374:186:51:0:Station Town:Station Town:in Station Town:::
250375:186:51:0:Thornley:Thornley:in Thornley:::
250376:186:51:0:Wheatley Hill:Wheatley Hill:in Wheatley Hill:::
250377:186:51:0:Whitehouse Business Park:Whitehouse Business Park:in Whitehouse Business Park:::
250378:186:51:0:Brierton:Brierton:in Brierton:::
250379:186:51:0:Claxton:Claxton:in Claxton:::
250380:186:51:0:Dalton Piercy:Dalton Piercy:in Dalton Piercy:::
250381:186:51:0:Greatham:Greatham:in Greatham:::
250382:186:51:0:Ashley Green:Ashley Green:in Ashley Green:::
250383:186:51:0:Hart:Hart:in Hart:::
250384:186:51:0:Hartlepool:Hartlepool:in Hartlepool:::
250385:186:51:0:Newton Bewley:Newton Bewley:in Newton Bewley:::
250386:186:51:0:Park View Industrial Estate:Park View Industrial Estate:in Park View Industrial Estate:::
250387:186:51:0:Queens Meadow Business Park:Queens Meadow Business Park:in Queens Meadow Business Park:::
250388:186:51:0:Seaton Carew:Seaton Carew:in Seaton Carew:::
250389:186:51:0:Ballinger:Ballinger:in Ballinger:::
250390:186:51:0:The Headland:The Headland:in The Headland:::
250391:186:51:0:Cleasby:Cleasby:in Cleasby:::
250392:186:51:0:Croft on Tees:Croft on Tees:in Croft on Tees:::
250393:186:51:0:Dalton on Tees:Dalton on Tees:in Dalton on Tees:::
250394:186:51:0:Eryholme:Eryholme:in Eryholme:::
250395:186:51:0:Hurworth:Hurworth:in Hurworth:::
250396:186:51:0:Manfield:Manfield:in Manfield:::
250397:186:51:0:Stapleton:Stapleton:in Stapleton:::
250398:186:51:0:Aycliffe:Aycliffe:in Aycliffe:::
250399:186:51:0:Aycliffe Business Park:Aycliffe Business Park:in Aycliffe Business Park:::
250400:186:51:0:Beamond End:Beamond End:in Beamond End:::
250401:186:51:0:Aycliffe Industrial Estate:Aycliffe Industrial Estate:in Aycliffe Industrial Estate:::
250402:186:51:0:Aycliffe Industrial Park:Aycliffe Industrial Park:in Aycliffe Industrial Park:::
250403:186:51:0:Binchester Moor:Binchester Moor:in Binchester Moor:::
250404:186:51:0:Bishop Middleham:Bishop Middleham:in Bishop Middleham:::
250405:186:51:0:Bradbury:Bradbury:in Bradbury:::
250406:186:51:0:Brafferton:Brafferton:in Brafferton:::
250407:186:51:0:Brusselton:Brusselton:in Brusselton:::
250408:186:51:0:Byers Green:Byers Green:in Byers Green:::
250409:186:51:0:Chilton:Chilton:in Chilton:::
250410:186:51:0:Chilton Industrial Estate:Chilton Industrial Estate:in Chilton Industrial Estate:::
250411:186:51:0:Bellingdon:Bellingdon:in Bellingdon:::
250412:186:51:0:Coatham Mundeville:Coatham Mundeville:in Coatham Mundeville:::
250413:186:51:0:Copelaw:Copelaw:in Copelaw:::
250414:186:51:0:Coxhoe:Coxhoe:in Coxhoe:::
250415:186:51:0:East Howle:East Howle:in East Howle:::
250416:186:51:0:Eldon:Eldon:in Eldon:::
250417:186:51:0:Elwick:Elwick:in Elwick:::
250418:186:51:0:Ferryhill:Ferryhill:in Ferryhill:::
250419:186:51:0:Fishburn:Fishburn:in Fishburn:::
250420:186:51:0:Garmondsway:Garmondsway:in Garmondsway:::
250421:186:51:0:Braziers End:Braziers End:in Braziers End:::
